Time Updated,Total Entries
2018-04-04 22:38:00,16480

User ID,User Name,Visa Type,Visa Entry,City,Major,Visa Status,Check Date,Complete Date,Waiting Days
00000,mmega,H1,Renewal,ShangHai,Biochemistry,2009-01-05,2009-03-31,85,detail
00001,100,H1,Renewal,ShenYang,Chemical Engineering,2009-01-05,2009-04-06,91,detail
00002,ford99,H1,Renewal,ShangHai,Mathmatics,2009-01-05,2009-04-01,86,detail
00003,thinkme,H1,Renewal,BeiJing,Aero,2009-01-05,2009-05-20,135,detail
00004,aaa,H1,Renewal,BeiJing,physics,2009-01-05,2009-04-02,87,detail
00005,Chao,H1,Renewal,GuangZhou,medicine,2009-01-05,2009-04-15,100,detail
00006,71,H1,Renewal,Toronto ,EE,2009-01-05,2009-04-14,99,detail 
00007,komunling,H1,New,ShangHai,Bioinformatics,2009-01-06,2009-04-07,91,detail
00008,fjr_2009,F1,New,ShangHai,EE,2009-01-06,2009-02-28,53,detail
00009,Bluewater,H1,,ShangHai,CS,2009-01-07,2009-04-10,93,detail
00010,kevin,H1,Renewal,ShenYang,Chem,2009-01-07,2009-04-09,92,detail
00011,zhangge,H1,Renewal,ChengDu,Statistical Genetics,2009-01-07,2009-04-08,91,detail
00012,expiate,H1,Renewal,ChengDu,Information Science,2009-01-07,2009-04-07,90,detail 
00013,lq958,H1,New,BeiJing,medical science,2009-01-07,2009-04-10,93,detail
00014,unluckyinchengd,H1,Renewal,ChengDu,ECE,2009-01-07,2009-04-02,85,detail
00015,flyingmonkey,H4,Renewal,ChengDu,MBA,2009-01-07,2009-04-08,91,detail
00016,ywhk,H1,Renewal,ShenYang,biology,2009-01-07,2009-04-20,103,detail
00017,wjzr76,H1,Renewal,Others,EE,2009-01-08,2009-04-09,91,detail
00018,SF,H1,Renewal,Others,Chem,2009-01-08,2009-04-08,90,detail
00019,ccruz,H1,Renewal,BeiJing,EE,2009-01-09,2009-04-09,90,detail
00020,ppqq,H1,New,BeiJing,EE,2009-01-10,2009-04-08,88,detail
00021,usdgood,B2,Renewal,ChengDu,chemistry,2009-01-12,2009-04-10,88,detail
00022,ray,L1,New,GuangZhou,N/A,2009-01-12,2009-04-08,86,detail
00023,wuhanJan,H1,New,GuangZhou,cancer biology,2009-01-12,2009-04-15,93,detail
00024,berry7e7,L1,New,ShangHai,EE,2009-01-12,2009-04-09,87,detail
00025,rc,L2,New,GuangZhou,N/A,2009-01-12,2009-04-08,86,detail
00026,noid,H1,,ChengDu,CS,2009-01-13,2009-04-08,85,detail
00027,viviencat,H4,New,Others,N/A,2009-01-13,2009-04-07,84,detail
00028,paopao,H1,Renewal,BeiJing,EE,2009-01-13,2009-04-23,100,detail
00029,ykcheiccas,H1,Renewal,BeiJing,Chemistry,2009-01-13,2009-04-08,85,detail
00030,changchunfeng,H1,Renewal,BeiJing,computer science,2009-01-13,2009-04-14,91,detail
00031,caidoz,H1,Renewal,Others,CS,2009-01-13,2009-04-28,105,detail
00032,familywang,H1,New,Others,radiation oncology,2009-01-13,2009-04-08,85,detail
00033,familywang2and3,H4,New,Others,N/A,2009-01-13,2009-04-08,85,detail
00034,ibm,J1,New,ShangHai,MECH,2009-01-13,2009-05-14,121,detail
00035,haha,J2,New,ShenYang,N/A,2009-01-13,2010-03-16,427,detail
00036,lhm,B1,,ShangHai,EE,2009-01-14,2009-04-14,90,detail
00037,li777,H1,Renewal,BeiJing,N/A,2009-01-14,2009-03-14,59,detail
00038,bobobo,F1,Renewal,BeiJing,chemistry,2009-01-15,2009-05-07,112,detail
00039,leviski,H1,New,ChengDu,CS,2009-01-15,2009-04-16,91,detail
00040,vincentlang1,F1,Renewal,Others,Organic Chemistry,2009-01-15,2009-06-04,140,detail 
00041,huhd,H1,Renewal,ShangHai,CS,2009-01-15,2009-05-20,125,detail
00042,pp,H1,,Toronto ,bio,2009-01-15,2009-04-21,96,detail
00043,robertg,H1,New,ShangHai,Biomedical Eng,2009-01-15,2009-04-15,90,detail
00044,wieso,B1,New,Others,Biology,2009-01-15,2009-04-24,99,detail
00045,xiamimayi,H1,Renewal,ShangHai,CS,2009-01-15,2009-04-16,91,detail
00046,ppsi,H1,New,Others,Chemistry,2009-01-16,2009-04-14,88,detail
00047,NW,H1,Renewal,ShenYang,BME,2009-01-16,2009-04-14,88,detail
00048,yaya,B1,New,Others,EE,2009-01-16,2009-04-14,88,detail
00049,12345,F1,Renewal,GuangZhou,Biology,2009-01-20,2009-03-11,50,detail
00050,goldenbread,H1,New,ShangHai,materials Science,2009-01-20,2009-04-17,87,detail
00051,hardamethyst,H1,Renewal,ShenYang,Chemistry,2009-01-20,2009-04-24,94,detail
00052,yhy,B2,New,Others,ChE,2009-01-20,2009-04-15,85,detail
00053,qq,B1,New,Vancouver ,chemistry,2009-01-20,2009-04-23,93,detail
00054,WoKao,H1,Renewal,ShenYang,MicroElectronics,2009-01-20,2009-04-14,84,detail
00055,alex,B1,New,ShangHai,N/A,2009-01-20,2009-04-16,86,detail
00056,quakemania,H1,New,ShangHai,ME,2009-01-20,2009-04-14,84,detail
00057,MMCC,H1,Renewal,ShangHai,material,2009-01-20,2009-05-14,114,detail
00058,vivienduww,L2,New,ChengDu,N/A,2009-01-21,2009-03-19,57,detail
00059,seekdream,H1,New,ChengDu,EE,2009-01-21,2009-04-24,93,detail
00060,bettyzy1201,H1,Renewal,ChengDu,EE,2009-01-21,2009-04-23,92,detail 
00061,thus,H1,Renewal,ShenYang,Biomedical Engineering,2009-01-21,2009-04-20,89,detail
00062,xlmail,H1,Renewal,ChengDu,Chemistry,2009-01-21,2009-04-16,85,detail
00063,botong,H1,Renewal,BeiJing,Chemistry,2009-01-22,2009-05-22,120,detail
00064,blue,H1,Renewal,BeiJing,Proteomics,2009-01-22,2009-04-22,90,detail
00065,eiche,F1,Renewal,GuangZhou,Physics,2009-01-22,2009-04-15,83,detail
00066,Shanghai,H1,New,ShangHai,Biochemistry,2009-01-22,2009-04-17,85,detail
00067,sling,J2,New,ChengDu,Clinical Medicine ,2009-01-22,2009-05-22,120,detail
00068,JAN23,H1,Renewal,ShangHai,chemistry,2009-01-23,2009-04-20,87,detail
00069,goodtiger,J1,Renewal,BeiJing,Chemistry,2009-01-23,2009-04-14,81,detail
00070,milanyc,B2,New,Others,ECE,2009-01-23,2009-05-05,102,detail
00071,wma,B1,New,Others,Physiology/Pharmacology,2009-01-23,2009-04-22,89,detail
00072,hliang,B1,Renewal,Others,Chemistry,2009-01-26,2009-04-22,86,detail
00073,lz_7991,J1,New,BeiJing,Optic Engineer,2009-01-29,2009-04-14,75,detail
00074,zye,H1,Renewal,ShangHai,biomedical engineering,2009-01-29,2009-04-24,85,detail
00075,ermite,B2,New,Others,CS,2009-01-29,2009-04-24,85,detail
00076,jwsn,J2,New,ShangHai,clinical medicine, bioche,2009-01-29,2009-05-06,97,detail
00077,xiaogazhang,J1,New,ShangHai,CS,2009-01-30,2009-07-10,161,detail
00078,DHA,H1,Renewal,ShangHai,ECE,2009-01-30,2009-04-24,84,detail
00079,kk,J1,Renewal,BeiJing,MICROBIO,2009-01-30,2009-05-06,96,detail
00080,basten,J1,New,ShenYang,optic engineering,2009-01-30,2009-04-13,73,detail
00081,qap,F1,Renewal,ChengDu,BME,2009-02-02,2009-05-22,109,detail
00082,shanghaigu,B2,New,ShangHai,N/A,2009-02-02,2009-04-23,80,detail
